Query_ID,Tipo,K_ou_Raio,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
59,Range,0.1,106.046,28560,1,164507
60,Range,0.1,36.0875,9669,1,57030
61,Range,0.1,90.7193,24361,1,101792
62,Range,0.1,109.937,29442,1,156518
63,Range,0.1,20.0111,5306,1,31744
64,Range,0.1,98.7741,26731,1,147234
65,Range,0.1,90.3357,24430,1,137554
66,Range,0.1,82.7285,22055,1,124813
67,Range,0.1,70.1273,18624,1,114367
68,Range,0.1,95.3819,25338,1,83601
69,Range,0.1,33.4361,8881,1,50954
70,Range,0.1,23.4634,6245,1,39959
71,Range,0.1,69.8929,18709,1,94950
72,Range,0.1,78.8324,21428,1,127710
73,Range,0.1,104.263,27913,1,133396
74,Range,0.1,78.2413,21246,1,83365
75,Range,0.1,56.2094,15003,1,77579
76,Range,0.1,49.987,13355,1,58700
77,Range,0.1,77.1935,15025,1,78597
78,Range,0.1,43.0408,11287,1,65866
79,Range,0.1,112.991,30423,1,166882
80,Range,0.1,74.8925,20296,1,89888
81,Range,0.1,57.6174,15327,1,86308
82,Range,0.1,87.2935,23674,1,97589
83,Range,0.1,35.0665,9375,1,56025
84,Range,0.1,43.9539,11653,1,69896
85,Range,0.1,90.4214,24382,1,123704
86,Range,0.1,75.3321,20173,1,110247
87,Range,0.1,61.3579,16381,1,98131
88,Range,0.1,18.3653,4743,1,30151
89,Range,0.1,72.0774,19375,1,114551
90,Range,0.1,8.69113,2246,1,10037
91,Range,0.1,24.8913,6614,1,41055
92,Range,0.1,39.4488,10689,1,51706
93,Range,0.1,18.1843,4827,1,25812
94,Range,0.1,55.9834,15415,1,39920
95,Range,0.1,68.8487,18616,1,66732
96,Range,0.1,38.2606,10214,1,60209
97,Range,0.1,106.304,28668,1,152498
98,Range,0.1,114.086,30721,1,183117
99,Range,0.1,102.603,27693,1,141977
